Hobby,Source ID,Name,Description,URL,Type
Tworzenie stron internetowych,3,Webmastering,Technologie webowe,https://wikipedia.org/wiki/Webmastering,wikipedia
Akwarystyka morska,1,ReefKeeper,Akwarystyka morska od podstaw,https://youtube.com/reefkeeper,youtube
Akwarystyka morska,2,AkwariumMorskie.pl,Portal akwarystyczny,https://akwariummorskie.pl,article
Akwarystyka morska,3,Akwarystyka morska,Podstawy akwarystyki morskiej,https://wikipedia.org/wiki/Akwarystyka_morska,wikipedia
Akwarystyka słodkowodna,1,FreshwaterTank,Akwaria słodkowodne krok po kroku,https://youtube.com/freshwatertank,youtube
Akwarystyka słodkowodna,2,Akwarium.pl,Portal akwarystyczny,https://akwarium.pl,article
Akwarystyka słodkowodna,3,Akwarystyka,Podstawy hodowli ryb,https://wikipedia.org/wiki/Akwarystyka,wikipedia
Animacja poklatkowa,1,StopMotionPro,Techniki animacji poklatkowej,https://youtube.com/stopmotionpro,youtube
Animacja poklatkowa,2,Animacja.art,Portal o animacji,https://animacja.art,article
Animacja poklatkowa,3,Animacja poklatkowa,Historia i techniki animacji,https://wikipedia.org/wiki/Animacja_poklatkowa,wikipedia
Astrofotografia,1,StarPhotography,Fotografowanie nocnego nieba,https://youtube.com/starphotography,youtube
Astrofotografia,2,Astrofoto.pl,Portal astrofotograficzny,https://astrofoto.pl,article
Astrofotografia,3,Astrofotografia,Techniki fotografii astronomicznej,https://wikipedia.org/wiki/Astrofotografia,wikipedia
Badanie archiwów lokalnych,1,ArchiveExplorer,Odkrywanie historii lokalnej,https://youtube.com/archiveexplorer,youtube
Badanie archiwów lokalnych,2,Archiwa.org,Portal archiwistyczny,https://archiwa.org,article
Badanie archiwów lokalnych,3,Archiwistyka,Metody badania archiwów,https://wikipedia.org/wiki/Archiwistyka,wikipedia
Base jumping,1,ExtremeJump,Techniki i bezpieczeństwo base jumpingu,https://youtube.com/extremejump,youtube
Base jumping,2,BaseJump.com,Portal o base jumpingu,https://basejump.com,article
Base jumping,3,Base jumping,Historia i techniki skoków,https://wikipedia.org/wiki/Base_jumping,wikipedia
Bieganie,1,RunAcademy,Techniki biegania i treningi,https://youtube.com/runacademy,youtube
Bieganie,2,Bieganie.pl,Portal dla biegaczy,https://bieganie.pl,article
Bieganie,3,Bieganie,Historia i techniki biegania,https://wikipedia.org/wiki/Bieganie,wikipedia
Biwakowanie,1,CampMaster,Poradnik biwakowania,https://youtube.com/campmaster,youtube
Biwakowanie,2,Survival.pl,Portal survivalowy,https://survival.pl,article
Biwakowanie,3,Biwakowanie,Techniki biwakowania,https://wikipedia.org/wiki/Biwakowanie,wikipedia
Boks,1,BoxingSchool,Techniki bokserskie i treningi,https://youtube.com/boxingschool,youtube
Boks,2,BoxingPortal,Portal o boksie,https://boxingportal.pl,article
Boks,3,Boks,Historia i techniki boksu,https://wikipedia.org/wiki/Boks,wikipedia
Bookbinding artystyczny,1,BookbindingArt,Sztuka oprawiania książek,https://youtube.com/bookbindingart,youtube
Bookbinding artystyczny,2,Introligator.pl,Portal o introligatorstwie,https://introligator.pl,article
Bookbinding artystyczny,3,Introligatorstwo,Historia i techniki introligatorskie,https://wikipedia.org/wiki/Introligatorstwo,wikipedia
Budowanie domków dla ptaków,1,BirdHouseCraft,Projektowanie i budowa domków dla ptaków,https://youtube.com/birdhousecraft,youtube
Budowanie domków dla ptaków,2,Budki.info,Portal o budkach lęgowych,https://budki.info,article
Budowanie domków dla ptaków,3,Budki lęgowe,Typy i konstrukcja budek lęgowych,https://wikipedia.org/wiki/Budki_legowe,wikipedia
Budowanie i malowanie figurek do gier,1,MiniFigures,Malowanie i modelowanie figurek,https://youtube.com/minifigures,youtube
Budowanie i malowanie figurek do gier,2,Figurki.pl,Portal modelarski,https://figurki.pl,article
Budowanie i malowanie figurek do gier,3,Modelarstwo,Techniki modelarskie,https://wikipedia.org/wiki/Modelarstwo,wikipedia
Budowanie modeli kolejek,1,ModelTrains,Modelarstwo kolejowe,https://youtube.com/modeltrains,youtube
Budowanie modeli kolejek,2,Kolejki.net,Portal o modelarstwie kolejowym,https://kolejki.net,article
Budowanie modeli kolejek,3,Modelarstwo kolejowe,Historia kolejek modelarskich,https://wikipedia.org/wiki/Modelarstwo_kolejowe,wikipedia
Budowanie rakiet amatorskich,1,RocketScience,Budowa rakiet amatorskich,https://youtube.com/rocketscience,youtube
Budowanie rakiet amatorskich,2,RakietyAmatorskie.pl,Portal rakietowy,https://rakietyamatorskie.pl,article
Budowanie rakiet amatorskich,3,Rakietnictwo amatorskie,Podstawy budowy rakiet,https://wikipedia.org/wiki/Rakietnictwo_amatorskie,wikipedia
Budowanie schronień w lesie,1,BushcraftPL,Techniki budowy schronień,https://youtube.com/bushcraftpl,youtube
Budowanie schronień w lesie,2,Survival.edu,Portal survivalowy,https://survival.edu,article
Budowanie schronień w lesie,3,Bushcraft,Sztuka przetrwania,https://wikipedia.org/wiki/Bushcraft,wikipedia
Chór,1,ChoralArt,Techniki śpiewu chóralnego,https://youtube.com/choralart,youtube
Chór,2,Chor.info,Portal o muzyce chóralnej,https://chor.info,article
Chór,3,Muzyka chóralna,Historia i rodzaje chórów,https://wikipedia.org/wiki/Muzyka_choralna,wikipedia
Cosplay,1,CosplayMaster,Tworzenie kostiumów i charakteryzacja,https://youtube.com/cosplaymaster,youtube
Cosplay,2,Cosplay.pl,Portal cosplayowy,https://cosplay.pl,article
Cosplay,3,Cosplay,Historia i kultura cosplayu,https://wikipedia.org/wiki/Cosplay,wikipedia
Czytanie książek,1,BookTuber,Recenzje i dyskusje o książkach,https://youtube.com/booktuber,youtube
Czytanie książek,2,Lubimyczytac.pl,Portal czytelniczy,https://lubimyczytac.pl,article
Czytanie książek,3,Literatura,Historia literatury,https://wikipedia.org/wiki/Literatura,wikipedia
D&D,1,DnDMaster,Poradniki dla graczy i mistrzów gry,https://youtube.com/dndmaster,youtube
D&D,2,DnD.pl,Portal o grach fabularnych,https://dnd.pl,article
D&D,3,Dungeons & Dragons,Historia i zasady D&D,https://wikipedia.org/wiki/Dungeons_and_Dragons,wikipedia
Degustacja win,1,WineExpert,Świat win i degustacji,https://youtube.com/wineexpert,youtube
Degustacja win,2,Winomania.pl,Portal o kulturze wina,https://winomania.pl,article
Degustacja win,3,Enologia,Nauka o winie,https://wikipedia.org/wiki/Enologia,wikipedia
Dekorowanie ciast artystycznych,1,CakeArt,Techniki dekoracji tortów,https://youtube.com/cakeart,youtube
Dekorowanie ciast artystycznych,2,TortArt.pl,Portal cukierniczy,https://tortart.pl,article
Dekorowanie ciast artystycznych,3,Cukiernictwo artystyczne,Sztuka dekoracji ciast,https://wikipedia.org/wiki/Cukiernictwo,wikipedia
Destylacja zapachów,1,PerfumeMaking,Tworzenie perfum i zapachów,https://youtube.com/perfumemaking,youtube
Destylacja zapachów,2,Aromaty.pl,Portal o zapachach,https://aromaty.pl,article
Destylacja zapachów,3,Perfumiarstwo,Historia i techniki perfumiarskie,https://wikipedia.org/wiki/Perfumiarstwo,wikipedia
Detekcja metali,1,MetalDetecting,Poszukiwanie skarbów,https://youtube.com/metaldetecting,youtube
Detekcja metali,2,Wykrywacze.info,Portal o detekcji metali,https://wykrywacze.info,article
Detekcja metali,3,Poszukiwania,Techniki poszukiwań,https://wikipedia.org/wiki/Detekcja_metali,wikipedia
Dogtrekking,1,DogSport,Sporty z psami,https://youtube.com/dogsport,youtube
Dogtrekking,2,Dogtrekking.pl,Portal o sporcie z psami,https://dogtrekking.pl,article
Dogtrekking,3,Dogtrekking,Zasady i techniki,https://wikipedia.org/wiki/Dogtrekking,wikipedia
Eksperymenty chemiczne,1,ChemLab,Eksperymenty chemiczne dla amatorów,https://youtube.com/chemlab,youtube
Eksperymenty chemiczne,2,Chemia.org,Portal chemiczny,https://chemia.org,article
Eksperymenty chemiczne,3,Chemia doświadczalna,Podstawy eksperymentów,https://wikipedia.org/wiki/Chemia_doswiadczalna,wikipedia
Filmowanie amatorskie,1,FilmMaking,Podstawy filmowania,https://youtube.com/filmmaking,youtube
Filmowanie amatorskie,2,Filmowiec.pl,Portal filmowy,https://filmowiec.pl,article
Filmowanie amatorskie,3,Kinematografia,Techniki filmowe,https://wikipedia.org/wiki/Kinematografia,wikipedia
Filozofia,1,PhilosophyTube,Wprowadzenie do filozofii,https://youtube.com/philosophytube,youtube
Filozofia,2,Filozofia.org,Portal filozoficzny,https://filozofia.org,article
Filozofia,3,Filozofia,Historia myśli filozoficznej,https://wikipedia.org/wiki/Filozofia,wikipedia
Fitness,1,FitnessAcademy,Treningi fitness i porady,https://youtube.com/fitnessacademy,youtube
Fitness,2,FitPortal,Kompleksowy portal fitness,https://fitportal.pl,article
Fitness,3,Fitness,Historia i rodzaje treningu fitness,https://wikipedia.org/wiki/Fitness,wikipedia
Fotografia,1,PhotoMaster,Techniki fotograficzne i sprzęt,https://youtube.com/photomaster,youtube
Fotografia,2,SwiatObrazu.pl,Portal fotograficzny,https://swiatobrazu.pl,article
Fotografia,3,Fotografia,Historia i techniki fotografii,https://wikipedia.org/wiki/Fotografia,wikipedia
Fotografia analogowa,1,AnaloguePhoto,Tajniki fotografii analogowej,https://youtube.com/analoguephoto,youtube
Fotografia analogowa,2,Analog.pl,Portal o fotografii analogowej,https://analog.pl,article
Fotografia analogowa,3,Fotografia analogowa,Techniki fotografii klasycznej,https://wikipedia.org/wiki/Fotografia_analogowa,wikipedia
Freediving,1,FreediveAcademy,Nauka nurkowania na wstrzymanym oddechu,https://youtube.com/freediveacademy,youtube
Freediving,2,Freediving.pl,Portal o nurkowaniu swobodnym,https://freediving.pl,article
Freediving,3,Freediving,Zasady i techniki freedivingu,https://wikipedia.org/wiki/Freediving,wikipedia
Genealogia,1,FamilyHistory,Odkrywanie historii rodzinnej,https://youtube.com/familyhistory,youtube
Genealogia,2,Genealogia.pl,Portal genealogiczny,https://genealogia.pl,article
Genealogia,3,Genealogia,Metody badań genealogicznych,https://wikipedia.org/wiki/Genealogia,wikipedia
Geocaching,1,GeocachingPro,Przewodnik po geocachingu,https://youtube.com/geocachingpro,youtube
Geocaching,2,Geocaching.pl,Portal społeczności geocacherów,https://geocaching.pl,article
Geocaching,3,Geocaching,Zasady i historia geocachingu,https://wikipedia.org/wiki/Geocaching,wikipedia
Gotowanie,1,KuchniaPlus,Przepisy i techniki kulinarne,https://youtube.com/kuchniaplus,youtube
Gotowanie,2,Kuchnia.pl,Portal kulinarny,https://kuchnia.pl,article
Gotowanie,3,Sztuka kulinarna,Historia i techniki gotowania,https://wikipedia.org/wiki/Sztuka_kulinarna,wikipedia
Gra na gitarze,1,GuitarMaster,Lekcje gry na gitarze,https://youtube.com/guitarmaster,youtube
Gra na gitarze,2,Gitarzysta.pl,Portal dla gitarzystów,https://gitarzysta.pl,article
Gra na gitarze,3,Gitara,Historia i techniki gry,https://wikipedia.org/wiki/Gitara,wikipedia
Gra na perkusji,1,DrumSchool,Nauka gry na perkusji,https://youtube.com/drumschool,youtube
Gra na perkusji,2,Perkusista.pl,Portal perkusyjny,https://perkusista.pl,article
Gra na perkusji,3,Perkusja,Techniki gry na perkusji,https://wikipedia.org/wiki/Perkusja,wikipedia
Gra na pianinie,1,PianoTutorials,Lekcje gry na pianinie,https://youtube.com/pianotutorials,youtube
Gra na pianinie,2,Pianista.pl,Portal pianistyczny,https://pianista.pl,article
Gra na pianinie,3,Fortepian,Historia i techniki gry,https://wikipedia.org/wiki/Fortepian,wikipedia
Gra na ukulele,1,UkuleleLessons,Nauka gry na ukulele od podstaw,https://youtube.com/ukulelelessons,youtube
Gra na ukulele,2,Ukulele.pl,Portal o ukulele,https://ukulele.pl,article
Gra na ukulele,3,Ukulele,Historia i techniki gry na ukulele,https://wikipedia.org/wiki/Ukulele,wikipedia
Grafika komputerowa,1,DigitalArtPro,Tutoriale grafiki komputerowej,https://youtube.com/digitalartpro,youtube
Grafika komputerowa,2,Grafika.art,Portal o grafice cyfrowej,https://grafika.art,article
Grafika komputerowa,3,Grafika komputerowa,Techniki i narzędzia graficzne,https://wikipedia.org/wiki/Grafika_komputerowa,wikipedia
Grafika warsztatowa,1,PrintMaking,Techniki druku artystycznego,https://youtube.com/printmaking,youtube
Grafika warsztatowa,2,Grafika.edu,Portal o grafice artystycznej,https://grafika.edu,article
Grafika warsztatowa,3,Grafika warsztatowa,Historia i techniki graficzne,https://wikipedia.org/wiki/Grafika_warsztatowa,wikipedia
Gry komputerowe,1,GamersHub,Recenzje i poradniki gier,https://youtube.com/gamershub,youtube
Gry komputerowe,2,Gry-Online,Portal o grach,https://gry-online.pl,article
Gry komputerowe,3,Gry komputerowe,Historia i rozwój gier,https://wikipedia.org/wiki/Gry_komputerowe,wikipedia
Gry planszowe,1,BoardGameGeek,Recenzje gier planszowych,https://youtube.com/boardgamegeek,youtube
Gry planszowe,2,Planszowki.pl,Portal o grach planszowych,https://planszowki.pl,article
Gry planszowe,3,Gry planszowe,Historia i rodzaje gier,https://wikipedia.org/wiki/Gry_planszowe,wikipedia
Historia sztuki,1,ArtHistory,Wykłady o historii sztuki,https://youtube.com/arthistory,youtube
Historia sztuki,2,Artinfo.pl,Portal o sztuce,https://artinfo.pl,article
Historia sztuki,3,Historia sztuki,Okresy i style w sztuce,https://wikipedia.org/wiki/Historia_sztuki,wikipedia
Hodowla egzotycznych ptaków,1,ExoticBirds,Hodowla ptaków egzotycznych,https://youtube.com/exoticbirds,youtube
Hodowla egzotycznych ptaków,2,Ptaki.info,Portal o ptakach egzotycznych,https://ptaki.info,article
Hodowla egzotycznych ptaków,3,Ptaki egzotyczne,Gatunki i hodowla,https://wikipedia.org/wiki/Ptaki_egzotyczne,wikipedia
Hodowla gadów,1,ReptileCare,Opieka nad gadami,https://youtube.com/reptilecare,youtube
Hodowla gadów,2,TerraBlog,Portal terrarystyczny,https://terrablog.pl,article
Hodowla gadów,3,Terrarystyka,Hodowla gadów w terrarium,https://wikipedia.org/wiki/Terrarystyka,wikipedia
Hodowla jedwabników,1,SilkwormBreeding,Hodowla jedwabników krok po kroku,https://youtube.com/silkwormbreeding,youtube
Hodowla jedwabników,2,Jedwabniki.info,Portal o hodowli jedwabników,https://jedwabniki.info,article
Hodowla jedwabników,3,Jedwabnik morwowy,Biologia i hodowla,https://wikipedia.org/wiki/Jedwabnik_morwowy,wikipedia
Hodowla mikroliści,1,MicrogreensGuru,Uprawa mikroliści w domu,https://youtube.com/microgeensguru,youtube
Hodowla mikroliści,2,Mikrolistki.pl,Portal o uprawie mikroliści,https://mikrolistki.pl,article
Hodowla mikroliści,3,Mikroliście,Uprawa i zastosowanie,https://wikipedia.org/wiki/Mikrolistki,wikipedia
Hodowla motyli,1,ButterflyBreeding,Hodowla motyli od podstaw,https://youtube.com/butterflybreeding,youtube
Hodowla motyli,2,Motyle.net,Portal o hodowli motyli,https://motyle.net,article
Hodowla motyli,3,Hodowla motyli,Techniki hodowli motyli,https://wikipedia.org/wiki/Hodowla_motyli,wikipedia
Hodowla mrówek,1,AntKeeping,Formikarium i hodowla mrówek,https://youtube.com/antkeeping,youtube
Hodowla mrówek,2,Mrowki.pl,Portal o hodowli mrówek,https://mrowki.pl,article
Hodowla mrówek,3,Mrówki,Biologia i hodowla mrówek,https://wikipedia.org/wiki/Mrowki,wikipedia
Hodowla pszczół,1,BeekeepingBasics,Pszczelarstwo dla początkujących,https://youtube.com/beekeepingbasics,youtube
Hodowla pszczół,2,Pszczoly.info,Portal pszczelarski,https://pszczoly.info,article
Hodowla pszczół,3,Pszczelarstwo,Historia i techniki,https://wikipedia.org/wiki/Pszczelarstwo,wikipedia
Inżynieria dźwięku,1,SoundEngineering,Podstawy inżynierii dźwięku,https://youtube.com/soundengineering,youtube
Inżynieria dźwięku,2,AudioTech.pl,Portal o technice audio,https://audiotech.pl,article
Inżynieria dźwięku,3,Inżynieria dźwięku,Techniki i narzędzia,https://wikipedia.org/wiki/Inzynieria_dzwieku,wikipedia
Jazda na deskorolce,1,SkateSchool,Szkoła jazdy na deskorolce,https://youtube.com/skateschool,youtube
Jazda na deskorolce,2,Skate.pl,Portal deskorolkowy,https://skate.pl,article
Jazda na deskorolce,3,Skateboarding,Historia i techniki,https://wikipedia.org/wiki/Skateboarding,wikipedia
Jazda na monocyklu,1,UniCycling,Nauka jazdy na monocyklu,https://youtube.com/unicycling,youtube
Jazda na monocyklu,2,Monocykl.pl,Portal o jeździe na monocyklu,https://monocykl.pl,article
Jazda na monocyklu,3,Monocykl,Historia i rodzaje,https://wikipedia.org/wiki/Monocykl,wikipedia
Jazda na rolkach,1,InlineSkating,Techniki jazdy na rolkach,https://youtube.com/inlineskating,youtube
Jazda na rolkach,2,Rolki.info,Portal o jeździe na rolkach,https://rolki.info,article
Jazda na rolkach,3,Wrotkarstwo,Historia i techniki,https://wikipedia.org/wiki/Wrotkarstwo,wikipedia
Jazda na rowerze,1,CyclingPro,Porady rowerowe i techniki,https://youtube.com/cyclingpro,youtube
Jazda na rowerze,2,Rower.com,Portal rowerowy,https://rower.com,article
Jazda na rowerze,3,Kolarstwo,Historia i rodzaje,https://wikipedia.org/wiki/Kolarstwo,wikipedia
Joga,1,YogaSpace,Praktyka jogi dla każdego,https://youtube.com/yogaspace,youtube
Joga,2,JogaOnline.pl,Portal o jodze i medytacji,https://jogaonline.pl,article
Joga,3,Joga,Historia i style jogi,https://wikipedia.org/wiki/Joga,wikipedia
Kajakarstwo ekstremalne,1,ExtremeKayak,Techniki kajakarstwa ekstremalnego,https://youtube.com/extremekayak,youtube
Kajakarstwo ekstremalne,2,KajakExtreme.pl,Portal o kajakarstwie ekstremalnym,https://kajakextreme.pl,article
Kajakarstwo ekstremalne,3,Kajakarstwo,Sporty kajakowe,https://wikipedia.org/wiki/Kajakarstwo,wikipedia
Kaligrafia,1,CalligraphyArt,Sztuka kaligrafii,https://youtube.com/calligraphyart,youtube
Kaligrafia,2,Kaligrafia.pl,Portal o kaligrafii,https://kaligrafia.pl,article
Kaligrafia,3,Kaligrafia,Historia i style pisma,https://wikipedia.org/wiki/Kaligrafia,wikipedia
Kartografia amatorska,1,MapMaking,Tworzenie map dla początkujących,https://youtube.com/mapmaking,youtube
Kartografia amatorska,2,MapyAmatorskie.pl,Portal kartograficzny,https://mapyamatorskie.pl,article
Kartografia amatorska,3,Kartografia,Podstawy tworzenia map,https://wikipedia.org/wiki/Kartografia,wikipedia
Kickboxing,1,KickboxingAcademy,Techniki kickboxingu,https://youtube.com/kickboxingacademy,youtube
Kickboxing,2,Kickboxing.pl,Portal o kickboxingu,https://kickboxing.pl,article
Kickboxing,3,Kickboxing,Historia i style,https://wikipedia.org/wiki/Kickboxing,wikipedia
Kolarstwo górskie,1,MTBTechniques,Techniki jazdy MTB,https://youtube.com/mtbtechniques,youtube
Kolarstwo górskie,2,MTBnews.pl,Portal o kolarstwie górskim,https://mtbnews.pl,article
Kolarstwo górskie,3,Kolarstwo górskie,Historia i dyscypliny,https://wikipedia.org/wiki/Kolarstwo_gorskie,wikipedia
Kolekcjonowanie znaczków,1,StampCollecting,Świat filatelistyki,https://youtube.com/stampcollecting,youtube
Kolekcjonowanie znaczków,2,Filatelistyka.pl,Portal filatelistyczny,https://filatelistyka.pl,article
Kolekcjonowanie znaczków,3,Filatelistyka,Historia znaczków pocztowych,https://wikipedia.org/wiki/Filatelistyka,wikipedia
LARP,1,LARPMaking,Tworzenie i organizacja LARP-ów,https://youtube.com/larpmaking,youtube
LARP,2,Larpy.pl,Portal o grach LARP,https://larpy.pl,article
LARP,3,LARP,Historia i rodzaje LARP-ów,https://wikipedia.org/wiki/LARP,wikipedia
Lutowanie i elektronika,1,SolderMaster,Techniki lutowania,https://youtube.com/soldermaster,youtube
Lutowanie i elektronika,2,Elektronika.net,Portal elektroniczny,https://elektronika.net,article
Lutowanie i elektronika,3,Lutowanie,Techniki lutowania,https://wikipedia.org/wiki/Lutowanie,wikipedia
Łowienie owadów i ich obserwacja,1,InsectHunting,Techniki łowienia i obserwacji owadów,https://youtube.com/insecthunting,youtube
Łowienie owadów i ich obserwacja,2,Entomologia.pl,Portal entomologiczny,https://entomologia.pl,article
Łowienie owadów i ich obserwacja,3,Entomologia,Nauka o owadach,https://wikipedia.org/wiki/Entomologia,wikipedia
Łucznictwo,1,ArcheryMaster,Techniki strzelania z łuku,https://youtube.com/archerymaster,youtube
Łucznictwo,2,Lucznictwo.net,Portal łuczniczy,https://lucznictwo.net,article
Łucznictwo,3,Łucznictwo,Historia i techniki,https://wikipedia.org/wiki/Lucznictwo,wikipedia
Majsterkowanie,1,DIYmaster,Projekty DIY i majsterkowanie,https://youtube.com/diymaster,youtube
Majsterkowanie,2,Majsterkowo.pl,Portal dla majsterkowiczów,https://majsterkowo.pl,article
Majsterkowanie,3,Majsterkowanie,Techniki i narzędzia,https://wikipedia.org/wiki/Majsterkowanie,wikipedia
Malowanie,1,PaintingTutorials,Techniki malarskie,https://youtube.com/paintingtutorials,youtube
Malowanie,2,Malowanie.art,Portal o malarstwie,https://malowanie.art,article
Malowanie,3,Malarstwo,Historia i techniki,https://wikipedia.org/wiki/Malarstwo,wikipedia
Malowanie akwarelami,1,WatercolorArt,Malowanie akwarelą,https://youtube.com/watercolorart,youtube
Malowanie akwarelami,2,Akwarele.pl,Portal o akwarelach,https://akwarele.pl,article
Malowanie akwarelami,3,Akwarela,Techniki akwarelowe,https://wikipedia.org/wiki/Akwarela,wikipedia
Malowanie olejami,1,OilPainting,Techniki malarstwa olejnego,https://youtube.com/oilpainting,youtube
Malowanie olejami,2,Oleje.art,Portal o malarstwie olejnym,https://oleje.art,article
Malowanie olejami,3,Malarstwo olejne,Historia i techniki,https://wikipedia.org/wiki/Malarstwo_olejne,wikipedia
Medytacja,1,MeditationGuide,Przewodnik po medytacji,https://youtube.com/meditationguide,youtube
Medytacja,2,Medytacja.pl,Portal o medytacji,https://medytacja.pl,article
Medytacja,3,Medytacja,Techniki medytacyjne,https://wikipedia.org/wiki/Medytacja,wikipedia
Mikroskopia amatorska,1,MicroscopePro,Świat mikroskopii,https://youtube.com/microscopepro,youtube
Mikroskopia amatorska,2,Mikroskopia.net,Portal mikroskopowy,https://mikroskopia.net,article
Mikroskopia amatorska,3,Mikroskopia,Techniki mikroskopowe,https://wikipedia.org/wiki/Mikroskopia,wikipedia
Modelarstwo,1,ScaleModeling,Techniki modelarskie,https://youtube.com/scalemodeling,youtube
Modelarstwo,2,Modelarz.pl,Portal modelarski,https://modelarz.pl,article
Modelarstwo,3,Modelarstwo,Historia i techniki,https://wikipedia.org/wiki/Modelarstwo,wikipedia
Modelowanie 3D,1,Blender3D,Modelowanie 3D w Blenderze,https://youtube.com/blender3d,youtube
Modelowanie 3D,2,3DModeling.pl,Portal o modelowaniu 3D,https://3dmodeling.pl,article
Modelowanie 3D,3,Grafika 3D,Techniki modelowania 3D,https://wikipedia.org/wiki/Grafika_3D,wikipedia
Naprawa starych mebli,1,FurnitureRestoration,Renowacja mebli krok po kroku,https://youtube.com/furniturerestoration,youtube
Naprawa starych mebli,2,Renowacje.pl,Portal o renowacji mebli,https://renowacje.pl,article
Naprawa starych mebli,3,Renowacja mebli,Techniki renowacji,https://wikipedia.org/wiki/Renowacja_mebli,wikipedia
Nauka AI i machine learning,1,AILearning,Kurs sztucznej inteligencji,https://youtube.com/ailearning,youtube
Nauka AI i machine learning,2,MachineLearning.pl,Portal o uczeniu maszynowym,https://machinelearning.pl,article
Nauka AI i machine learning,3,Sztuczna inteligencja,Podstawy AI,https://wikipedia.org/wiki/Sztuczna_inteligencja,wikipedia
Nauka języków obcych,1,LanguageMaster,Techniki nauki języków,https://youtube.com/languagemaster,youtube
Nauka języków obcych,2,Lingwista.pl,Portal językowy,https://lingwista.pl,article
Nauka języków obcych,3,Glottodydaktyka,Nauka o uczeniu się języków,https://wikipedia.org/wiki/Glottodydaktyka,wikipedia
